frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
39,1.6250,1.6250,mood.consideration,轻抿唇,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0480,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
40,1.6667,1.6667,mood.consideration,轻抿唇,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0480,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
41,1.7083,1.7083,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.8405,0.0000,0.0511,0.0000,0.8405,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,mood.consideration#step1
42,1.7500,1.7500,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.7870,0.0000,0.0681,0.0000,0.7870,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
43,1.7917,1.7917,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.6967,0.0000,0.0970,0.0000,0.6967,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
44,1.8333,1.8333,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5811,0.0000,0.1341,0.0000,0.5811,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
45,1.8750,1.8750,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.4515,0.0000,0.1755,0.0000,0.4515,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
46,1.9167,1.9167,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.3197,0.0000,0.2177,0.0000,0.3197,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
47,1.9583,1.9583,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.1971,0.0000,0.2569,0.0000,0.1971,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
48,2.0000,2.0000,mood.consideration,回到自然,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0953,0.0000,0.2895,0.0000,0.0953,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
