frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
28,1.1667,1.1667,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
29,1.2083,1.2083,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0091,0.0039,0.0091,1,1,,
30,1.2500,1.2500,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2300,0.1000,0.2300,1,1,,
31,1.2917,1.2917,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4509,0.1961,0.4509,1,1,,
32,1.3333,1.3333,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4526,0.2310,0.4526,1,1,,
33,1.3750,1.3750,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.4277,0.3347,0.4277,1,1,,
34,1.4167,1.4167,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3946,0.4727,0.3946,1,1,,
35,1.4583,1.4583,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3630,0.6042,0.3630,1,1,,
36,1.5000,1.5000,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3428,0.6884,0.3428,1,1,,
37,1.5417,1.5417,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.3320,0.7100,0.3320,1,1,,
38,1.5833,1.5833,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2846,0.7692,0.2846,1,1,,
39,1.6250,1.6250,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.2237,0.8453,0.2237,1,1,,
40,1.6667,1.6667,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.1831,0.8961,0.1831,1,1,,
41,1.7083,1.7083,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.1609,0.8043,0.1609,1,1,,
42,1.7500,1.7500,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0900,0.4500,0.0900,1,1,,
43,1.7917,1.7917,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0191,0.0957,0.0191,1,1,,
44,1.8333,1.8333,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
45,1.8750,1.8750,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
46,1.9167,1.9167,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
47,1.9583,1.9583,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
48,2.0000,2.0000,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
49,2.0417,2.0417,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
50,2.0833,2.0833,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
51,2.1250,2.1250,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
52,2.1667,2.1667,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
53,2.2083,2.2083,speech.smile,说话时保持笑形,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,,
