frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
18,0.7500,0.7500,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
19,0.7917,0.7917,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
20,0.8333,0.8333,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
21,0.8750,0.8750,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
22,0.9167,0.9167,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
23,0.9583,0.9583,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
24,1.0000,1.0000,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
25,1.0417,1.0417,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
26,1.0833,1.0833,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
27,1.1250,1.1250,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
28,1.1667,1.1667,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
29,1.2083,1.2083,mood.consideration,轻抿唇,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
30,1.2500,1.2500,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8405,0.0000,0.0000,0.0000,0.8405,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,mood.consideration#step1
31,1.2917,1.2917,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7870,0.0000,0.0000,0.0000,0.7870,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
32,1.3333,1.3333,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6967,0.0000,0.0000,0.0000,0.6967,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
33,1.3750,1.3750,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5811,0.0000,0.0000,0.0000,0.5811,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
34,1.4167,1.4167,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4515,0.0000,0.0000,0.0000,0.4515,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
35,1.4583,1.4583,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3197,0.0000,0.0000,0.0000,0.3197,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
36,1.5000,1.5000,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1971,0.0000,0.0000,0.0000,0.1971,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
37,1.5417,1.5417,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0953,0.0000,0.0000,0.0000,0.0953,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
38,1.5833,1.5833,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0000,0.0000,0.0000,0.0257,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
39,1.6250,1.6250,mood.consideration,回到自然,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
40,1.6667,1.6667,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,mood.consideration#finished
41,1.7083,1.7083,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
42,1.7500,1.7500,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
