frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
38,1.5833,1.5833,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.2494,0.0000,0.0000,0.0000,0.2494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
39,1.6250,1.6250,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.2091,0.0000,0.0000,0.0000,0.2091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
40,1.6667,1.6667,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.1653,0.0000,0.0000,0.0000,0.1653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
41,1.7083,1.7083,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.1212,0.0000,0.0000,0.0000,0.1212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
42,1.7500,1.7500,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
43,1.7917,1.7917,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.0441,0.0000,0.0000,0.0000,0.0441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
44,1.8333,1.8333,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
45,1.8750,1.8750,greeting.softSmile,回到自然,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
46,1.9167,1.9167,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,greeting.softSmile#finished
47,1.9583,1.9583,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
48,2.0000,2.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
49,2.0417,2.0417,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
50,2.0833,2.0833,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
51,2.1250,2.1250,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
52,2.1667,2.1667,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
53,2.2083,2.2083,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
54,2.2500,2.2500,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
55,2.2917,2.2917,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
56,2.3333,2.3333,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
57,2.3750,2.3750,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
58,2.4167,2.4167,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
59,2.4583,2.4583,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
60,2.5000,2.5000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
61,2.5417,2.5417,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
