frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
281,11.7083,11.7083,ambient.eyeRest,短暂垂眼,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#started
309,12.8750,12.8750,ambient.eyeRest,睁眼,0.0000,0.0000,0.0000,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#step1
323,13.4583,13.4583,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#finished
703,29.2917,29.2917,ambient.eyeRest,短暂垂眼,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#started
732,30.5000,30.5000,ambient.eyeRest,睁眼,0.0000,0.0000,0.0000,0.0000,0.0000,0.4462,0.0000,0.0000,0.0000,0.4462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#step1
748,31.1667,31.1667,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#finished
1186,49.4167,49.4167,ambient.eyeRest,短暂垂眼,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#started
1220,50.8333,50.8333,ambient.eyeRest,睁眼,0.0000,0.0000,0.0000,0.0000,0.0000,0.4494,0.0000,0.0000,0.0000,0.4494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#step1
1234,51.4167,51.4167,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0,1,,ambient.eyeRest#finished
